experiment,method,byz_ratio,seed,param_name,param_value,asr,fpr,balanced_accuracy,tn,fp,fn,tp,elapsed_s
exp2_pfp,bst_gm,0.4,789,p_fp,0.12,0.0290646041562383,0.2873047225713773,99.8418153366362,5553,16,18,61913,178.1
exp2_pfp,bst_gm,0.4,1011,p_fp,0.12,0.0322940046180426,0.448913629017777,99.75939618318208,5544,25,20,61911,178.5
exp2_pfp,bst_gm,0.4,1415,p_fp,0.12,0.0193764027708255,0.8080445322319986,99.58628953249858,5524,45,12,61919,178.3
exp2_pfp,bst_gm,0.4,1617,p_fp,0.12,0.0290646041562383,0.6464356257855989,99.66224988502908,5533,36,18,61913,178.5
exp2_pfp,bst_gm,0.4,1819,p_fp,0.12,0.0226058032326298,2.047046148321063,98.96517402422316,5455,114,14,61917,178.6
exp2_pfp,bst_gm,0.4,2021,p_fp,0.12,0.0177617025399234,2.082959238642485,98.94963952940878,5453,116,11,61920,178.0
exp2_pfp,bst_gm,0.4,42,p_fp,0.15,0.0193764027708255,0.5566528999820434,99.71198534862356,5538,31,12,61919,177.8
exp2_pfp,bst_gm,0.4,123,p_fp,0.15,0.0226058032326298,0.8439576225534207,99.56671828710697,5522,47,14,61917,177.8
exp2_pfp,bst_gm,0.4,456,p_fp,0.15,0.0274499039253362,1.0594361644819537,99.45655696579637,5510,59,17,61914,178.3
exp2_pfp,bst_gm,0.4,789,p_fp,0.15,0.0339087048489447,0.3052612677320883,99.83041501370948,5552,17,21,61910,177.4
exp2_pfp,bst_gm,0.4,1011,p_fp,0.15,0.0274499039253362,0.448913629017777,99.76181823352844,5544,25,17,61914,175.9
exp2_pfp,bst_gm,0.4,1415,p_fp,0.15,0.0209911030017277,0.8439576225534207,99.56752563722242,5522,47,13,61918,175.7
exp2_pfp,bst_gm,0.4,1617,p_fp,0.15,0.0290646041562383,0.5925659903034657,99.68918470277016,5536,33,18,61913,176.8
exp2_pfp,bst_gm,0.4,1819,p_fp,0.15,0.0226058032326298,1.9033937870353743,99.037000204866,5463,106,14,61917,177.6
exp2_pfp,bst_gm,0.4,2021,p_fp,0.15,0.0177617025399234,2.154785419285329,98.91372643908736,5449,120,11,61920,177.0
exp3_prior,bst_gm,0.4,42,prior_byz,0.2,0.0242205034635319,0.5027832644999102,99.73649811601828,5541,28,15,61916,177.8
exp3_prior,bst_gm,0.4,123,prior_byz,0.2,0.0258352036944341,0.682348716107021,99.64590804009929,5531,38,16,61915,177.5
exp3_prior,bst_gm,0.4,456,prior_byz,0.2,0.0290646041562383,1.1671754354462205,99.40187998019876,5504,65,18,61913,177.9
exp3_prior,bst_gm,0.4,789,prior_byz,0.2,0.0290646041562383,0.2693481774106662,99.85079360921657,5554,15,18,61913,178.5
exp3_prior,bst_gm,0.4,1011,prior_byz,0.2,0.0274499039253362,0.4130005386963548,99.77977477868916,5546,23,17,61914,176.8
exp3_prior,bst_gm,0.4,1415,prior_byz,0.2,0.0209911030017277,0.7900879870712875,99.5944604549635,5525,44,13,61918,177.4
exp3_prior,bst_gm,0.4,1617,prior_byz,0.2,0.0306793043871405,0.5386963548213324,99.71531217039578,5539,30,19,61912,177.1
exp3_prior,bst_gm,0.4,1819,prior_byz,0.2,0.0209911030017277,1.8854372418746632,99.0467858275618,5464,105,13,61918,176.6
exp3_prior,bst_gm,0.4,2021,prior_byz,0.2,0.0161470023090213,2.244568145088885,98.86964242630104,5444,125,10,61921,176.6
exp3_prior,bst_gm,0.4,42,prior_byz,0.4,0.0226058032326298,0.5027832644999102,99.73730546613372,5541,28,14,61917,178.5
exp3_prior,bst_gm,0.4,123,prior_byz,0.4,0.0242205034635319,0.8619141677141318,99.55693266441116,5521,48,15,61916,177.0
exp3_prior,bst_gm,0.4,456,prior_byz,0.4,0.0290646041562383,1.1133057999640867,99.42881479793984,5507,62,18,61913,176.5
exp3_prior,bst_gm,0.4,789,prior_byz,0.4,0.0274499039253362,0.2873047225713773,99.84262268675164,5553,16,17,61914,176.7
exp3_prior,bst_gm,0.4,1011,prior_byz,0.4,0.0322940046180426,0.4309570838570659,99.76837445576244,5545,24,20,61911,177.0
exp3_prior,bst_gm,0.4,1415,prior_byz,0.4,0.0209911030017277,0.7900879870712875,99.5944604549635,5525,44,13,61918,177.3
exp3_prior,bst_gm,0.4,1617,prior_byz,0.4,0.0274499039253362,0.6284790806248878,99.6720355077249,5534,35,17,61914,177.7
exp3_prior,bst_gm,0.4,1819,prior_byz,0.4,0.0226058032326298,2.2804812354103072,98.84845648067852,5442,127,14,61917,176.0
exp3_prior,bst_gm,0.4,2021,prior_byz,0.4,0.0177617025399234,2.082959238642485,98.94963952940878,5453,116,11,61920,176.5
exp3_prior,bst_gm,0.4,42,prior_byz,0.5,0.0258352036944341,0.5207398096606213,99.72671249332248,5540,29,16,61915,177.4
exp3_prior,bst_gm,0.4,123,prior_byz,0.5,0.0242205034635319,0.7721314419105764,99.60182402731294,5526,43,15,61916,177.2
exp3_prior,bst_gm,0.4,456,prior_byz,0.5,0.0274499039253362,1.0594361644819537,99.45655696579637,5510,59,17,61914,177.0
exp3_prior,bst_gm,0.4,789,prior_byz,0.5,0.0322940046180426,0.3411743580535105,99.81326581866423,5550,19,20,61911,178.6
exp3_prior,bst_gm,0.4,1011,prior_byz,0.5,0.0274499039253362,0.4130005386963548,99.77977477868916,5546,23,17,61914,178.2
exp3_prior,bst_gm,0.4,1415,prior_byz,0.5,0.0193764027708255,0.9157838031962652,99.53241989701644,5518,51,12,61919,177.9
exp3_prior,bst_gm,0.4,1617,prior_byz,0.5,0.0274499039253362,0.5925659903034657,99.6899920528856,5536,33,17,61914,177.8
exp3_prior,bst_gm,0.4,1819,prior_byz,0.5,0.0242205034635319,1.5622194289818638,99.2067800337773,5482,87,15,61916,177.3
exp3_prior,bst_gm,0.4,2021,prior_byz,0.5,0.0161470023090213,2.3702639612138627,98.80679451823856,5437,132,10,61921,178.1
exp4_ablation,bst_fedavg,0.4,42,ablation,0.0,0.0258352036944341,0.3411743580535105,99.81649521912604,5550,19,16,61915,175.9
exp4_ablation,bst_fedavg,0.4,123,ablation,0.0,0.0161470023090213,0.8080445322319986,99.58790423272949,5524,45,10,61921,176.7
exp4_ablation,bst_fedavg,0.4,456,ablation,0.0,0.0226058032326298,0.9696534386783984,99.50387037904449,5515,54,14,61917,175.8
exp4_ablation,bst_fedavg,0.4,789,ablation,0.0,0.0209911030017277,0.3770874483749327,99.80096072431166,5548,21,13,61918,175.3
