method,byz_ratio,seed,n_byz,byz_ids,asr,fpr,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp,elapsed_s
fedavg,0.0,2021,0,[],0.022606,0.682349,99.647523,0.99923,0.999387,0.999774,0.99958,5531,38,14,61917,178.4
cwtm,0.0,2021,0,[],0.020991,0.664392,99.657308,0.999259,0.999403,0.99979,0.999596,5532,37,13,61918,175.4
gm,0.0,2021,0,[],0.020991,0.664392,99.657308,0.999259,0.999403,0.99979,0.999596,5532,37,13,61918,181.0
trust_gm,0.0,2021,0,[],0.019376,0.969653,99.505485,0.999022,0.999129,0.999806,0.999467,5515,54,12,61919,181.5
bst_gm,0.0,2021,0,[],0.020991,0.646436,99.666287,0.999274,0.999419,0.99979,0.999604,5533,36,13,61918,181.4
fedavg,0.2,2021,2,"[6, 7]",0.020991,4.525049,97.72698,0.996074,0.995947,0.99979,0.997865,5317,252,13,61918,179.1
cwtm,0.2,2021,2,"[6, 7]",0.020991,1.741785,99.118612,0.99837,0.998436,0.99979,0.999113,5472,97,13,61918,178.3
gm,0.2,2021,2,"[6, 7]",0.019376,1.705872,99.137376,0.998415,0.998468,0.999806,0.999137,5474,95,12,61919,179.9
trust_gm,0.2,2021,2,"[6, 7]",0.017762,2.298438,98.8419,0.997941,0.997937,0.999822,0.998879,5441,128,11,61920,179.8
bst_gm,0.2,2021,2,"[6, 7]",0.019376,1.45448,99.263072,0.998622,0.998694,0.999806,0.99925,5488,81,12,61919,182.6
fedavg,0.3,2021,3,"[2, 6, 7]",0.146938,2.729395,98.561834,0.9964,0.997548,0.998531,0.998039,5417,152,91,61840,179.9
cwtm,0.3,2021,3,"[2, 6, 7]",0.019376,2.801221,98.589701,0.997511,0.997487,0.999806,0.998645,5413,156,12,61919,180.2
gm,0.3,2021,3,"[2, 6, 7]",0.022606,2.298438,98.839478,0.997896,0.997937,0.999774,0.998855,5441,128,14,61917,179.6
trust_gm,0.3,2021,3,"[2, 6, 7]",0.011303,2.370264,98.809217,0.997941,0.997873,0.999887,0.998879,5437,132,7,61924,182.0
bst_gm,0.3,2021,3,"[2, 6, 7]",0.016147,1.867481,99.058186,0.998311,0.998323,0.999839,0.99908,5465,104,10,61921,181.8
fedavg,0.4,2021,4,"[2, 3, 6, 7]",4.20145,15.69402,90.052265,0.948504,0.985482,0.957985,0.971539,4695,874,2602,59329,178.4
cwtm,0.4,2021,4,"[2, 3, 6, 7]",0.285802,8.924403,95.394898,0.990015,0.992016,0.997142,0.994572,5072,497,177,61754,176.9
gm,0.4,2021,4,"[2, 3, 6, 7]",0.348775,4.686658,97.482283,0.992933,0.995789,0.996512,0.99615,5308,261,216,61715,181.7
trust_gm,0.4,2021,4,"[2, 3, 6, 7]",0.029065,2.980786,98.495074,0.997274,0.997326,0.999709,0.998516,5403,166,18,61913,181.2
bst_gm,0.4,2021,4,"[2, 3, 6, 7]",0.017762,2.082959,98.94964,0.998119,0.99813,0.999822,0.998976,5453,116,11,61920,181.4
