method,byz_ratio,seed,n_byz,byz_ids,asr,fpr,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp,elapsed_s
trust_gm,0.3,1415,3,"[1, 5, 7]",0.022606,1.310828,99.333283,0.998711,0.998822,0.999774,0.999298,5496,73,14,61917,179.4
acccs_gm,0.3,1415,3,"[1, 5, 7]",0.019376,1.310828,99.334898,0.998741,0.998822,0.999806,0.999314,5496,73,12,61919,181.0
fedavg,0.4,1415,4,"[1, 5, 7, 8]",17.125511,1.005567,90.934461,0.842044,0.99891,0.828745,0.905906,5513,56,10606,51325,176.9
cwtm,0.4,1415,4,"[1, 5, 7, 8]",21.538486,0.664392,88.898561,0.801837,0.999239,0.784615,0.879016,5532,37,13339,48592,177.6
gm,0.4,1415,4,"[1, 5, 7, 8]",4.881239,0.682349,97.218206,0.954652,0.999355,0.951188,0.974677,5531,38,3023,58908,179.7
trust_gm,0.4,1415,4,"[1, 5, 7, 8]",0.067817,1.418567,99.256808,0.998207,0.998725,0.999322,0.999023,5490,79,42,61889,178.9
acccs_gm,0.4,1415,4,"[1, 5, 7, 8]",0.022606,1.113306,99.432044,0.998874,0.999,0.999774,0.999387,5507,62,14,61917,179.1
fedavg,0.0,1617,0,[],0.020991,0.664392,99.657308,0.999259,0.999403,0.99979,0.999596,5532,37,13,61918,176.9
cwtm,0.0,1617,0,[],0.020991,0.664392,99.657308,0.999259,0.999403,0.99979,0.999596,5532,37,13,61918,176.0
gm,0.0,1617,0,[],0.022606,0.682349,99.647523,0.99923,0.999387,0.999774,0.99958,5531,38,14,61917,175.6
trust_gm,0.0,1617,0,[],0.017762,1.149219,99.41651,0.998889,0.998967,0.999822,0.999395,5505,64,11,61920,174.7
acccs_gm,0.0,1617,0,[],0.020991,1.885437,99.046786,0.998252,0.998307,0.99979,0.999048,5464,105,13,61918,178.0
fedavg,0.2,1617,2,"[6, 8]",0.038753,8.224098,95.868575,0.992859,0.992656,0.999612,0.996122,5111,458,24,61907,176.8
cwtm,0.2,1617,2,"[6, 8]",0.024221,8.098402,95.938689,0.993096,0.992769,0.999758,0.996251,5118,451,15,61916,175.1
gm,0.2,1617,2,"[6, 8]",0.02745,1.239002,99.366774,0.998726,0.998887,0.999726,0.999306,5500,69,17,61914,179.7
trust_gm,0.2,1617,2,"[6, 8]",0.017762,1.167175,99.407531,0.998874,0.998951,0.999822,0.999387,5504,65,11,61920,179.5
acccs_gm,0.2,1617,2,"[6, 8]",0.020991,1.705872,99.136569,0.9984,0.998468,0.99979,0.999129,5474,95,13,61918,183.2
fedavg,0.3,1617,3,"[5, 6, 8]",0.274499,0.700305,99.512598,0.996904,0.999369,0.997255,0.998311,5530,39,170,61761,178.3
cwtm,0.3,1617,3,"[5, 6, 8]",0.040368,2.262525,98.848554,0.997763,0.997969,0.999596,0.998782,5443,126,25,61906,179.5
gm,0.3,1617,3,"[5, 6, 8]",0.029065,1.939307,99.015814,0.998133,0.998259,0.999709,0.998983,5461,108,18,61913,181.1
trust_gm,0.3,1617,3,"[5, 6, 8]",0.020991,1.777698,99.100655,0.998341,0.998404,0.99979,0.999096,5470,99,13,61918,181.1
acccs_gm,0.3,1617,3,"[5, 6, 8]",0.022606,1.50835,99.234522,0.998548,0.998645,0.999774,0.999209,5485,84,14,61917,179.5
fedavg,0.4,1617,4,"[1, 5, 6, 8]",3.649223,6.823487,94.763645,0.960889,0.993672,0.963508,0.978357,5189,380,2260,59671,175.6
cwtm,0.4,1617,4,"[1, 5, 6, 8]",2.31548,0.215479,98.734521,0.978578,0.999802,0.976845,0.98819,5557,12,1434,60497,178.2
gm,0.4,1617,4,"[1, 5, 6, 8]",0.581292,2.334351,98.542179,0.992741,0.997893,0.994187,0.996037,5439,130,360,61571,181.3
trust_gm,0.4,1617,4,"[1, 5, 6, 8]",0.048441,5.710181,97.120689,0.994844,0.994889,0.999516,0.997197,5251,318,30,61901,181.8
acccs_gm,0.4,1617,4,"[1, 5, 6, 8]",0.022606,0.682349,99.647523,0.99923,0.999387,0.999774,0.99958,5531,38,14,61917,181.2
fedavg,0.0,1819,0,[],0.022606,0.556653,99.710371,0.999333,0.9995,0.999774,0.999637,5538,31,14,61917,178.1
cwtm,0.0,1819,0,[],0.022606,0.538696,99.719349,0.999348,0.999516,0.999774,0.999645,5539,30,14,61917,175.5
gm,0.0,1819,0,[],0.022606,0.538696,99.719349,0.999348,0.999516,0.999774,0.999645,5539,30,14,61917,175.2
trust_gm,0.0,1819,0,[],0.019376,1.077393,99.451615,0.998933,0.999032,0.999806,0.999419,5509,60,12,61919,174.9
acccs_gm,0.0,1819,0,[],0.019376,1.687915,99.146354,0.99843,0.998484,0.999806,0.999145,5475,94,12,61919,176.8
fedavg,0.2,1819,2,"[6, 7]",0.022606,1.957263,99.010065,0.998178,0.998243,0.999774,0.999008,5460,109,14,61917,177.4
cwtm,0.2,1819,2,"[6, 7]",0.019376,1.310828,99.334898,0.998741,0.998822,0.999806,0.999314,5496,73,12,61919,178.7
gm,0.2,1819,2,"[6, 7]",0.020991,1.849524,99.064742,0.998281,0.998339,0.99979,0.999064,5466,103,13,61918,180.7
trust_gm,0.2,1819,2,"[6, 7]",0.014532,1.741785,99.121841,0.99843,0.998436,0.999855,0.999145,5472,97,9,61922,178.7
acccs_gm,0.2,1819,2,"[6, 7]",0.019376,2.190699,98.894963,0.998015,0.998034,0.999806,0.998919,5447,122,12,61919,178.8
fedavg,0.3,1819,3,"[5, 6, 7]",0.093653,2.621656,98.642346,0.996978,0.997646,0.999063,0.998354,5423,146,58,61873,177.5
cwtm,0.3,1819,3,"[5, 6, 7]",0.046826,1.580176,99.186499,0.998267,0.99858,0.999532,0.999056,5481,88,29,61902,177.3
gm,0.3,1819,3,"[5, 6, 7]",0.024221,3.663135,98.156322,0.996756,0.996716,0.999758,0.998235,5365,204,15,61916,181.4
trust_gm,0.3,1819,3,"[5, 6, 7]",0.020991,1.97522,99.001894,0.998178,0.998227,0.99979,0.999008,5459,110,13,61918,180.7
acccs_gm,0.3,1819,3,"[5, 6, 7]",0.022606,1.97522,99.001087,0.998163,0.998227,0.999774,0.999,5459,110,14,61917,181.0
fedavg,0.4,1819,4,"[3, 5, 6, 7]",3.867207,10.378883,92.876955,0.955956,0.990385,0.961328,0.97564,4991,578,2395,59536,176.4
cwtm,0.4,1819,4,"[3, 5, 6, 7]",0.050056,11.994972,93.977486,0.989644,0.989324,0.999499,0.994385,4901,668,31,61900,177.8
gm,0.4,1819,4,"[3, 5, 6, 7]",0.29549,13.629018,93.037746,0.986044,0.987857,0.997045,0.99243,4810,759,183,61748,181.3
trust_gm,0.4,1819,4,"[3, 5, 6, 7]",0.016147,9.086012,95.448921,0.992356,0.991895,0.999839,0.995851,5063,506,10,61921,180.4
acccs_gm,0.4,1819,4,"[3, 5, 6, 7]",0.020991,2.02909,98.97496,0.998133,0.998178,0.99979,0.998984,5456,113,13,61918,181.2
fedavg,0.0,2021,0,[],0.022606,0.682349,99.647523,0.99923,0.999387,0.999774,0.99958,5531,38,14,61917,177.2
cwtm,0.0,2021,0,[],0.020991,0.664392,99.657308,0.999259,0.999403,0.99979,0.999596,5532,37,13,61918,176.0
gm,0.0,2021,0,[],0.020991,0.664392,99.657308,0.999259,0.999403,0.99979,0.999596,5532,37,13,61918,174.9
trust_gm,0.0,2021,0,[],0.019376,0.969653,99.505485,0.999022,0.999129,0.999806,0.999467,5515,54,12,61919,175.3
acccs_gm,0.0,2021,0,[],0.020991,1.777698,99.100655,0.998341,0.998404,0.99979,0.999096,5470,99,13,61918,178.0
fedavg,0.2,2021,2,"[6, 7]",0.020991,4.525049,97.72698,0.996074,0.995947,0.99979,0.997865,5317,252,13,61918,177.0
cwtm,0.2,2021,2,"[6, 7]",0.020991,1.741785,99.118612,0.99837,0.998436,0.99979,0.999113,5472,97,13,61918,178.0
gm,0.2,2021,2,"[6, 7]",0.019376,1.705872,99.137376,0.998415,0.998468,0.999806,0.999137,5474,95,12,61919,180.0
trust_gm,0.2,2021,2,"[6, 7]",0.017762,2.298438,98.8419,0.997941,0.997937,0.999822,0.998879,5441,128,11,61920,181.0
acccs_gm,0.2,2021,2,"[6, 7]",0.019376,2.100916,98.939854,0.998089,0.998114,0.999806,0.998959,5452,117,12,61919,178.8
fedavg,0.3,2021,3,"[2, 6, 7]",0.146938,2.729395,98.561834,0.9964,0.997548,0.998531,0.998039,5417,152,91,61840,175.4
cwtm,0.3,2021,3,"[2, 6, 7]",0.019376,2.801221,98.589701,0.997511,0.997487,0.999806,0.998645,5413,156,12,61919,175.4
gm,0.3,2021,3,"[2, 6, 7]",0.022606,2.298438,98.839478,0.997896,0.997937,0.999774,0.998855,5441,128,14,61917,178.1
trust_gm,0.3,2021,3,"[2, 6, 7]",0.011303,2.370264,98.809217,0.997941,0.997873,0.999887,0.998879,5437,132,7,61924,179.1
acccs_gm,0.3,2021,3,"[2, 6, 7]",0.016147,2.531873,98.72599,0.997763,0.997728,0.999839,0.998782,5428,141,10,61921,180.2
fedavg,0.4,2021,4,"[2, 3, 6, 7]",4.20145,15.69402,90.052265,0.948504,0.985482,0.957985,0.971539,4695,874,2602,59329,178.5
cwtm,0.4,2021,4,"[2, 3, 6, 7]",0.285802,8.924403,95.394898,0.990015,0.992016,0.997142,0.994572,5072,497,177,61754,175.9
gm,0.4,2021,4,"[2, 3, 6, 7]",0.348775,4.686658,97.482283,0.992933,0.995789,0.996512,0.99615,5308,261,216,61715,179.2
trust_gm,0.4,2021,4,"[2, 3, 6, 7]",0.029065,2.980786,98.495074,0.997274,0.997326,0.999709,0.998516,5403,166,18,61913,179.8
acccs_gm,0.4,2021,4,"[2, 3, 6, 7]",0.022606,2.352307,98.812543,0.997852,0.997889,0.999774,0.99883,5438,131,14,61917,178.1
